benchmark,consensus_replicate,converged,convergence_tolerance,dual_residual,final_status,iteration,iteration_count,maximum_iterations,method,primal_residual,raw_conflict_count,rho,unresolved_conflict_count
pglib_case14_ieee,qci_sample_023,False,1e-06,2.7284857492415984e-12,completed,20,30,200,QCi SC-CMPO,0.0006688039009777927,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.728485178924011e-12,completed,21,30,200,QCi SC-CMPO,0.00033440195048890195,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.452700242139416e-15,completed,22,30,200,QCi SC-CMPO,0.00016720097524447415,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.291894703148848e-15,completed,23,30,200,QCi SC-CMPO,8.360048762221021e-05,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.6816558257159156e-15,completed,24,30,200,QCi SC-CMPO,4.180024381111592e-05,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,3.3531374661776206e-15,completed,25,30,200,QCi SC-CMPO,2.0900121905555074e-05,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.7284856854229973e-12,completed,26,30,200,QCi SC-CMPO,1.045006095277097e-05,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,2.728485504113929e-12,completed,27,30,200,QCi SC-CMPO,5.2250304763808234e-06,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,3.2904773376525135e-15,completed,28,30,200,QCi SC-CMPO,2.6125152381945567e-06,527,1.0,0
pglib_case14_ieee,qci_sample_023,False,1e-06,3.0144043813191685e-15,completed,29,30,200,QCi SC-CMPO,1.3062579374305804e-06,527,1.0,0
pglib_case14_ieee,qci_sample_023,True,1e-06,2.4588859312020678e-15,completed,30,30,200,QCi SC-CMPO,6.531286104363056e-07,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,2.7284855636267857e-12,completed,1,30,200,QCi SC-CMPO,386.19652766015867,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,2.7284868158581626e-12,completed,2,30,200,QCi SC-CMPO,193.0982638300794,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.8522073112296674e-15,completed,3,30,200,QCi SC-CMPO,96.54913191503942,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.650632846018174e-15,completed,4,30,200,QCi SC-CMPO,48.274565957520196,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.531899924639277e-15,completed,5,30,200,QCi SC-CMPO,24.137282978759615,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.501470864145319e-15,completed,6,30,200,QCi SC-CMPO,12.06864148938016,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,3.7083308350129956e-15,completed,7,30,200,QCi SC-CMPO,6.034320744690166,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.955205954042854e-15,completed,8,30,200,QCi SC-CMPO,3.0171603723447564,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.216866993716143e-15,completed,9,30,200,QCi SC-CMPO,1.5085801861722101,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.652351135393965e-15,completed,10,30,200,QCi SC-CMPO,0.7542900930861849,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.435701135530836e-15,completed,11,30,200,QCi SC-CMPO,0.3771450465434857,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.83558766312843e-15,completed,12,30,200,QCi SC-CMPO,0.1885725232717899,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.02580976695627e-15,completed,13,30,200,QCi SC-CMPO,0.09428626163551738,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.5365764488400735e-15,completed,14,30,200,QCi SC-CMPO,0.04714313081779476,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.620865731378959e-15,completed,15,30,200,QCi SC-CMPO,0.023571565409190743,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.214245201840302e-15,completed,16,30,200,QCi SC-CMPO,0.011785782704394359,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.9067940667780375e-15,completed,17,30,200,QCi SC-CMPO,0.005892891351986605,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.5724731043800525e-15,completed,18,30,200,QCi SC-CMPO,0.002946445676006007,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.38232764937153e-15,completed,19,30,200,QCi SC-CMPO,0.0014732228379228942,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,1.3642471531999217e-12,completed,20,30,200,QCi SC-CMPO,0.0007366114190015306,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,1.3642517935035105e-12,completed,21,30,200,QCi SC-CMPO,0.00036830570950077544,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.1849465674886706e-15,completed,22,30,200,QCi SC-CMPO,0.00018415285475041106,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,5.208849764635039e-15,completed,23,30,200,QCi SC-CMPO,9.207642737518341e-05,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.736617264267379e-15,completed,24,30,200,QCi SC-CMPO,4.6038213687585715e-05,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,4.919181515887925e-15,completed,25,30,200,QCi SC-CMPO,2.3019106843832695e-05,527,1.0,0
pglib_case14_ieee,qci_sample_024,False,1e-06,1.3642515049496495e-12,completed,26,30,200,QCi SC-CMPO,1.15095534218888e-05,527,1.0,0
