dataset,scenario,patch,method_name,repeat_count,best_cost,median_cost,p10_cost,p90_cost,std_cost,best_critical_load_served_fraction,median_runtime_seconds,feasibility_rate
pglib_case30_adapted,normal,BUS2_MG,CMPO + QCi Dirac-3,40,270.25992727037607,299.03142528956107,285.84320237696284,299.03142528956107,7.488472311596813,0.0,21.0,1.0
pglib_case30_adapted,normal,BUS2_MG,CMPO-V2 + QCi Dirac-3,60,280.31031844689153,299.03142528956107,290.5667393704828,337.1569321453409,19.876220169156976,1.0,31.0,1.0
pglib_case30_adapted,normal,BUS2_MG-BUS30_MG,CMPO + QCi Dirac-3,20,211.9569830213362,281.9045591695229,235.99705848144407,353.2479824704506,49.75789562290579,1.0,289.0,1.0
pglib_case30_adapted,normal,BUS2_MG-BUS30_MG,CMPO-V2 + QCi Dirac-3,30,355.4551497597656,393.6005830675431,368.3240749747229,414.5898966367682,17.159491816009034,1.0,435.0,1.0
pglib_case30_adapted,normal,BUS2_MG-BUS5_MG,CMPO + QCi Dirac-3,20,184.02769266210552,272.25138646709036,210.23685797887887,353.24008652699575,54.54453106184348,1.0,289.0,1.0
pglib_case30_adapted,normal,BUS2_MG-BUS5_MG,CMPO-V2 + QCi Dirac-3,30,354.39957904523123,400.15218733847234,378.3363515178225,419.8286593115096,18.302574862530673,1.0,436.0,1.0
pglib_case30_adapted,normal,BUS30_MG,CMPO + QCi Dirac-3,20,74.9717846653409,74.9717846653409,74.9717846653409,74.9717846653409,0.0,0.0,21.0,1.0
pglib_case30_adapted,normal,BUS30_MG,CMPO-V2 + QCi Dirac-3,30,74.9717846653409,74.9717846653409,74.9717846653409,86.1908246653409,5.559433997297204,1.0,31.0,1.0
pglib_case30_adapted,normal,BUS5_MG,CMPO + QCi Dirac-3,20,28.3023596653409,28.624199665340903,28.624199665340903,28.624199665340903,0.17100307035559273,0.0,21.0,1.0
pglib_case30_adapted,normal,BUS5_MG,CMPO-V2 + QCi Dirac-3,30,25.1762096653409,28.624199665340903,28.624199665340903,98.98373999999998,26.29857897696048,1.0,31.0,1.0
pglib_case30_adapted,normal,BUS5_MG-BUS7_MG,CMPO + QCi Dirac-3,20,95.72095166534088,131.40252825178362,102.6192195806818,177.0982319897916,27.86153244988191,1.0,287.0,1.0
pglib_case30_adapted,normal,BUS5_MG-BUS7_MG,CMPO-V2 + QCi Dirac-3,30,195.8068645873409,198.8894947153409,196.6662219667409,200.1413259145409,1.5140759039615612,1.0,436.0,1.0
pglib_case30_adapted,normal,BUS7_MG,CMPO + QCi Dirac-3,20,77.86672466534088,77.8667246653409,77.8667246653409,77.8667246653409,1.4561792860887976e-14,0.0,21.0,1.0
pglib_case30_adapted,normal,BUS7_MG,CMPO-V2 + QCi Dirac-3,30,77.86672466534088,77.8667246653409,77.8667246653409,101.99824466534092,11.821982143553434,1.0,31.0,1.0
pglib_case30_adapted,pcc_failure,BUS12_MG,CMPO + QCi Dirac-3,20,95.04227666534088,95.64791666534089,95.58735266534089,95.6479166653409,0.1816920000000034,0.0,22.0,1.0
pglib_case30_adapted,pcc_failure,BUS12_MG,CMPO-V2 + QCi Dirac-3,30,95.64791666534089,108.0947006653409,95.64791666534089,108.0947006653409,5.990851816213542,1.0,30.0,1.0
pglib_case30_adapted,pcc_failure,BUS1_MG,CMPO + QCi Dirac-3,20,6.289687544134948,6.289687544134958,6.289687544134953,6.289687544134963,4.537540041285411e-15,0.0,22.0,1.0
pglib_case30_adapted,pcc_failure,BUS1_MG,CMPO-V2 + QCi Dirac-3,30,6.289687544134953,6.289687544134959,6.289687544134953,11.70787085572397,2.019237699877993,1.0,31.0,1.0
pglib_case30_adapted,pcc_failure,BUS1_MG-BUS2_MG,CMPO + QCi Dirac-3,20,183.242878831734,248.16733822610493,217.43997958718958,306.0275778915754,38.46391778049175,1.0,290.0,1.0
pglib_case30_adapted,pcc_failure,BUS1_MG-BUS2_MG,CMPO-V2 + QCi Dirac-3,30,288.95128972052925,342.350702412424,322.0991760851326,350.2182414996648,14.788466243859556,1.0,435.0,1.0
pglib_case30_adapted,pcc_failure,BUS2_MG,CMPO + QCi Dirac-3,40,261.89968103525933,299.865389222927,287.5156374077423,299.86538922292704,8.243379845913577,0.0,21.0,1.0
pglib_case30_adapted,pcc_failure,BUS2_MG,CMPO-V2 + QCi Dirac-3,60,277.3973227551554,299.86538922292704,288.0994569971078,338.51109014534086,20.45255433144359,1.0,30.5,1.0
pglib_case30_adapted,pcc_failure,BUS2_MG-BUS30_MG,CMPO + QCi Dirac-3,20,191.47557338195264,286.43742523428983,234.59068684742695,354.0868074666438,50.89843239091692,1.0,289.0,1.0
pglib_case30_adapted,pcc_failure,BUS2_MG-BUS30_MG,CMPO-V2 + QCi Dirac-3,30,366.5064175883129,405.7357040394452,380.94517701977924,422.53512892805514,15.447279921755898,1.0,435.0,1.0
pglib_case30_adapted,pcc_failure,BUS2_MG-BUS5_MG,CMPO + QCi Dirac-3,20,188.52924249371415,272.1315473665931,197.26132207073292,334.75013412786967,50.25517932968478,1.0,287.0,1.0
pglib_case30_adapted,pcc_failure,BUS2_MG-BUS5_MG,CMPO-V2 + QCi Dirac-3,30,366.0979389080103,420.5257436660064,387.83410572980824,432.61576104543195,18.74618877224798,1.0,431.0,1.0
pglib_case30_adapted,pcc_failure,BUS30_MG,CMPO + QCi Dirac-3,20,75.0575906653409,75.0575906653409,75.0575906653409,75.0575906653409,1.4210854715202004e-14,0.0,21.0,1.0
pglib_case30_adapted,pcc_failure,BUS30_MG,CMPO-V2 + QCi Dirac-3,30,75.0575906653409,75.0575906653409,75.0575906653409,86.83758266534089,5.660781850993662,1.0,31.0,1.0
pglib_case30_adapted,pcc_failure,BUS5_MG,CMPO + QCi Dirac-3,20,29.3868056653409,29.3868056653409,29.3868056653409,29.3868056653409,3.552713678800501e-15,0.0,21.0,1.0
pglib_case30_adapted,pcc_failure,BUS5_MG,CMPO-V2 + QCi Dirac-3,30,29.064965665340907,29.3868056653409,29.3868056653409,100.89963,34.124682335263174,1.0,30.0,1.0
pglib_case30_adapted,pcc_failure,BUS5_MG-BUS7_MG,CMPO + QCi Dirac-3,20,101.1961688306818,141.28113004473062,104.59921148796715,177.7988550608576,28.42598322350551,1.0,291.0,1.0
